period,system,rows,stations,groups,station_macro_mae_mm_day,pooled_mae_mm_day,station_weighted_acceptance,accepted_rows
all_test_years,OpenET,3234,49,24,0.8368384657547253,0.8301823370779222,,
all_test_years,AllStationFull,3234,49,24,0.8849835428948557,0.880437990348737,,
all_test_years,AllStationSupportGain,3234,49,24,0.8290993212361002,0.8333335993716394,0.6406778920843459,2050.0
all_test_years,CroplandOnlyFull,3234,49,24,0.776959364005212,0.7938371879035269,,
all_test_years,CroplandOnlySupportGain,3234,49,24,0.7877256163071739,0.7940561778314489,0.5741826361786754,2020.0
2012,OpenET,128,12,9,0.8794923301174138,0.8436869625781251,,
2012,AllStationFull,128,12,9,0.8161591736452104,0.8322621984035214,,
2012,AllStationSupportGain,128,12,9,0.8247929526813312,0.8240014863519693,0.8577635327635328,109.0
2012,CroplandOnlyFull,128,12,9,0.6944434186564932,0.7028335778451905,,
2012,CroplandOnlySupportGain,128,12,9,0.7928876988188214,0.7756202104946288,0.6974430661930663,91.0
2013,OpenET,358,18,11,0.9476552613685306,0.9299038515083798,,
2013,AllStationFull,358,18,11,0.9795541242378705,0.9882272926003303,,
2013,AllStationSupportGain,358,18,11,0.9331320990087509,0.9251262232136588,0.814784210743963,277.0
2013,CroplandOnlyFull,358,18,11,0.9171252398218682,0.9316500588253397,,
2013,CroplandOnlySupportGain,358,18,11,0.9066860073390917,0.9149415653379411,0.8923382731819266,309.0
2014,OpenET,310,16,9,0.7417558724350749,0.7240625735806452,,
2014,AllStationFull,310,16,9,0.7097805116116018,0.696075340131489,,
2014,AllStationSupportGain,310,16,9,0.7033510952142599,0.6911687340600882,0.7922835238062942,240.0
2014,CroplandOnlyFull,310,16,9,0.6599814009597027,0.6819488212136369,,
2014,CroplandOnlySupportGain,310,16,9,0.6881788553765453,0.6999962606703801,0.6642919331397747,196.0
2015,OpenET,268,13,8,0.8374648143923228,0.7885334816417912,,
2015,AllStationFull,268,13,8,0.8783201128979817,0.868664504736872,,
2015,AllStationSupportGain,268,13,8,0.8052591437377408,0.7870240203825926,0.6644954915882516,169.0
2015,CroplandOnlyFull,268,13,8,0.8166622999371119,0.8259719659075203,,
2015,CroplandOnlySupportGain,268,13,8,0.8326675284074098,0.8263191640647278,0.5412297310487356,134.0
2016,OpenET,395,20,11,0.9043376703427922,0.9073458922531645,,
2016,AllStationFull,395,20,11,0.952513191069435,0.9379591662888536,,
2016,AllStationSupportGain,395,20,11,0.921301628109891,0.9197534291600414,0.6492440411777719,246.0
2016,CroplandOnlyFull,395,20,11,0.8543638587211827,0.8694554117832263,,
2016,CroplandOnlySupportGain,395,20,11,0.8703025953640429,0.8911597807328807,0.6323743394676075,251.0
2017,OpenET,596,25,17,0.8490835535100709,0.8573995513087248,,
2017,AllStationFull,596,25,17,0.891474430161432,0.9835262462570283,,
2017,AllStationSupportGain,596,25,17,0.8211741565370916,0.8883204378138503,0.7147744381473138,384.0
2017,CroplandOnlyFull,596,25,17,0.8278528498696539,0.84832328028769,,
2017,CroplandOnlySupportGain,596,25,17,0.7944917808613589,0.8311798165319099,0.6370037352963412,374.0
2018,OpenET,560,28,15,0.7451241944827058,0.8387566023035714,,
2018,AllStationFull,560,28,15,0.7802624010234028,0.8913279126535225,,
2018,AllStationSupportGain,560,28,15,0.7420221016445205,0.8570395237486395,0.5630877403883219,282.0
2018,CroplandOnlyFull,560,28,15,0.7036071421885459,0.8076301240861834,,
2018,CroplandOnlySupportGain,560,28,15,0.7078387217450853,0.794427335085557,0.47530128940611893,295.0
2019,OpenET,422,18,13,0.7048625188357904,0.8270674688625592,,
2019,AllStationFull,422,18,13,0.7546425330134787,0.8176560243699206,,
2019,AllStationSupportGain,422,18,13,0.7125770143221164,0.8038394648355486,0.5901880489014991,233.0
2019,CroplandOnlyFull,422,18,13,0.6648295854632473,0.6805305042771267,,
2019,CroplandOnlySupportGain,422,18,13,0.6432372429870468,0.681436955751028,0.5625225574264839,247.0
2020,OpenET,197,8,8,0.6877337791852829,0.6090754720812183,,
2020,AllStationFull,197,8,8,0.7637377708133639,0.6983050716123779,,
2020,AllStationSupportGain,197,8,8,0.6845981984236388,0.6154556561830825,0.6417072118702554,110.0
2020,CroplandOnlyFull,197,8,8,0.6132631175735741,0.621924468110961,,
2020,CroplandOnlySupportGain,197,8,8,0.6268281037429444,0.6236540506502202,0.6262491373360939,123.0
