threshold_km,seed_index,split_seed,anchor,condition,support_improvement_mm_day,ci95_low_mm_day,ci95_high_mm_day,stations,groups,rows,gain_station_macro_mae_mm_day,support_station_macro_mae_mm_day
5,0,20260924,False,clean,0.005839624261,-0.001120492768,0.01528031719,101,71,7842,0.8162966923,0.810457068
5,0,20260924,False,temperature_fahrenheit_as_celsius,0.7281766631,0.589022526,0.8822254296,101,71,7842,1.582679318,0.8545026548
5,0,20260924,False,temperature_plus10,0.0554564106,0.03030340099,0.08162241413,101,71,7842,0.9546441107,0.8991877001
5,0,20260924,False,temperature_plus20,0.2844002893,0.2059091309,0.3636210345,101,71,7842,1.146791291,0.8623910016
5,0,20260924,False,temperature_plus32,0.5298523115,0.4178385983,0.6446888639,101,71,7842,1.384279422,0.8544271103
5,0,20260924,False,temperature_plus5,0.007256189711,-0.003443988208,0.01975228543,101,71,7842,0.8538953325,0.8466391428
5,0,20260924,False,vpd_x10,2.593050555,1.977204359,3.295896642,101,71,7842,3.447540429,0.8544898735
5,0,20260924,False,wind_x0,0.1663959552,0.07105180709,0.2711480603,101,71,7842,1.027371963,0.8609760079
5,0,20260924,False,wind_x0.447,0.01977134252,0.005781252773,0.03551988914,101,71,7842,0.9206881933,0.9009168507
5,0,20260924,False,wind_x10,0.5918390924,0.4414629333,0.7406606477,101,71,7842,1.446671528,0.854832436
5,0,20260924,False,wind_x2.237,0.05879727264,0.01298711423,0.1043018879,101,71,7842,0.9394925878,0.8806953151
5,0,20260924,False,wind_x3.6,0.1919957929,0.1063296112,0.2796193439,101,71,7842,1.059740854,0.8677450608
5,0,20260924,False,wind_x5,0.2877690858,0.1869256288,0.3947507545,101,71,7842,1.146514908,0.8587458224
5,1,20260925,False,clean,0.004167764678,-0.001023908848,0.01093814816,101,71,7842,0.8163030592,0.8121352945
5,1,20260925,False,temperature_fahrenheit_as_celsius,0.7862301666,0.6656730863,0.9145821978,101,71,7842,1.640732821,0.8545026548
5,1,20260925,False,temperature_plus10,0.0598075335,0.03046382276,0.08678377656,101,71,7842,0.9552531429,0.8954456094
5,1,20260925,False,temperature_plus20,0.3351567259,0.2650044085,0.4022504615,101,71,7842,1.192907259,0.8577505327
5,1,20260925,False,temperature_plus32,0.5865921348,0.4902168853,0.6842196993,101,71,7842,1.441019245,0.8544271103
5,1,20260925,False,temperature_plus5,0.01069854301,-0.0002854298446,0.0222515468,101,71,7842,0.8600281735,0.8493296305
5,1,20260925,False,vpd_x10,2.410174087,2.009619459,2.794121485,101,71,7842,3.264682518,0.8545084312
5,1,20260925,False,wind_x0,0.161951595,0.073828731,0.2490274281,101,71,7842,1.021277486,0.8593258911
5,1,20260925,False,wind_x0.447,0.01594630116,0.003189954088,0.02898417128,101,71,7842,0.9304523365,0.9145060353
5,1,20260925,False,wind_x10,0.5978010223,0.4601001077,0.7341911235,101,71,7842,1.452532306,0.8547312835
5,1,20260925,False,wind_x2.237,0.04657235129,0.005139953604,0.08438133419,101,71,7842,0.9258242313,0.87925188
5,1,20260925,False,wind_x3.6,0.1775264446,0.0991324394,0.2523809305,101,71,7842,1.040857517,0.8633310727
5,1,20260925,False,wind_x5,0.2969868636,0.2034923074,0.3886506238,101,71,7842,1.156708547,0.8597216836
5,2,20260926,False,clean,0.001711397938,-0.002913953457,0.007476506213,101,71,7842,0.8070420138,0.8053306159
5,2,20260926,False,temperature_fahrenheit_as_celsius,0.6846494733,0.5442081172,0.8339709796,101,71,7842,1.539152128,0.8545026548
5,2,20260926,False,temperature_plus10,0.07115577601,0.03982056788,0.1021866545,101,71,7842,0.9657127358,0.8945569598
5,2,20260926,False,temperature_plus20,0.2960908866,0.2174632816,0.3724085262,101,71,7842,1.155426589,0.8593357026
5,2,20260926,False,temperature_plus32,0.5207646337,0.417221997,0.6304943622,101,71,7842,1.375191744,0.8544271103
5,2,20260926,False,temperature_plus5,0.005811115501,-0.00478910019,0.01901053751,101,71,7842,0.8590699106,0.8532587951
5,2,20260926,False,vpd_x10,2.701802309,2.060389047,3.375622401,101,71,7842,3.556317061,0.8545147526
5,2,20260926,False,wind_x0,0.1729392121,0.07742665008,0.2719528086,101,71,7842,1.032720916,0.8597817044
5,2,20260926,False,wind_x0.447,0.01782554488,0.004790960385,0.03255200528,101,71,7842,0.93352165,0.9156961052
5,2,20260926,False,wind_x10,0.5652760739,0.4159153137,0.7248776456,101,71,7842,1.42000039,0.8547243162
5,2,20260926,False,wind_x2.237,0.04248223913,-0.008825841573,0.09423345949,101,71,7842,0.9256288993,0.8831466601
5,2,20260926,False,wind_x3.6,0.1900805774,0.1050330347,0.2785902357,101,71,7842,1.056121989,0.8660414113
5,2,20260926,False,wind_x5,0.286169504,0.1812459832,0.396963831,101,71,7842,1.145142063,0.8589725585
5,3,20260927,False,clean,-0.001284895532,-0.00697196195,0.003670109036,101,71,7842,0.812824015,0.8141089106
5,3,20260927,False,temperature_fahrenheit_as_celsius,0.7154391859,0.5681932814,0.8760432198,101,71,7842,1.569941841,0.8545026548
5,3,20260927,False,temperature_plus10,0.06189583719,0.03426393341,0.09023569358,101,71,7842,0.9579630847,0.8960672475
5,3,20260927,False,temperature_plus20,0.293629737,0.2317274874,0.3571627697,101,71,7842,1.155542527,0.8619127904
5,3,20260927,False,temperature_plus32,0.5109172243,0.4007324751,0.623865924,101,71,7842,1.365344335,0.8544271103
5,3,20260927,False,temperature_plus5,0.007429314345,-0.002139797793,0.01998168328,101,71,7842,0.859436987,0.8520076727
5,3,20260927,False,vpd_x10,2.716233034,2.111082926,3.385901385,101,71,7842,3.570739694,0.85450666
5,3,20260927,False,wind_x0,0.1722469695,0.07639053161,0.2867665565,101,71,7842,1.032485731,0.8602387613
5,3,20260927,False,wind_x0.447,0.02074806953,0.007670066738,0.03577643514,101,71,7842,0.9236097411,0.9028616716
5,3,20260927,False,wind_x10,0.4994059519,0.3841985284,0.643845887,101,71,7842,1.354062743,0.8546567915
5,3,20260927,False,wind_x2.237,0.05047474725,0.00940627954,0.08787564491,101,71,7842,0.929060196,0.8785854488
5,3,20260927,False,wind_x3.6,0.1802709975,0.1026020799,0.2605500001,101,71,7842,1.04730854,0.8670375426
5,3,20260927,False,wind_x5,0.2548804551,0.1642718438,0.356580318,101,71,7842,1.1162392,0.8613587446
5,4,20260928,False,clean,0.005056024007,-0.001699687044,0.01339459398,101,71,7842,0.8189680521,0.8139120281
5,4,20260928,False,temperature_fahrenheit_as_celsius,0.8053989177,0.6632279455,0.9563180721,101,71,7842,1.659869674,0.8544707566
5,4,20260928,False,temperature_plus10,0.08830472489,0.0520459145,0.123975128,101,71,7842,0.984405568,0.8961008431
5,4,20260928,False,temperature_plus20,0.3408868147,0.2571164501,0.418055135,101,71,7842,1.201875788,0.8609889737
5,4,20260928,False,temperature_plus32,0.6168267539,0.5084296597,0.7258905889,101,71,7842,1.471253864,0.8544271103
5,4,20260928,False,temperature_plus5,0.009991869769,-0.00321242951,0.0248357005,101,71,7842,0.8654295534,0.8554376837
5,4,20260928,False,vpd_x10,3.075928026,2.487342641,3.705665278,101,71,7842,3.930436006,0.8545079798
5,4,20260928,False,wind_x0,0.1976165774,0.106207996,0.294983637,101,71,7842,1.057489247,0.8598726701
5,4,20260928,False,wind_x0.447,0.01775032906,0.005807478091,0.03090688818,101,71,7842,0.9477349296,0.9299846006
5,4,20260928,False,wind_x10,0.602374368,0.4671130989,0.7461634526,101,71,7842,1.457103335,0.854728967
5,4,20260928,False,wind_x2.237,0.06281625667,0.01207612465,0.1127165646,101,71,7842,0.9499731862,0.8871569296
5,4,20260928,False,wind_x3.6,0.2176417384,0.1306773372,0.3103377638,101,71,7842,1.081350802,0.8637090633
5,4,20260928,False,wind_x5,0.3224368472,0.2214517649,0.4292804811,101,71,7842,1.183623741,0.8611868936
5,5,20260929,False,clean,0.007701708898,-0.0005841291871,0.01900670501,101,71,7842,0.8252626734,0.8175609645
5,5,20260929,False,temperature_fahrenheit_as_celsius,0.7692008476,0.6421764634,0.909692782,101,71,7842,1.623703502,0.8545026548
5,5,20260929,False,temperature_plus10,0.07729587897,0.04671245756,0.1084289902,101,71,7842,0.9833410546,0.9060451756
5,5,20260929,False,temperature_plus20,0.359160653,0.2807972122,0.4427478678,101,71,7842,1.222238335,0.8630776821
5,5,20260929,False,temperature_plus32,0.6054660977,0.5055200451,0.7133029245,101,71,7842,1.459893208,0.8544271103
5,5,20260929,False,temperature_plus5,0.01311648488,0.0006361577366,0.02626647214,101,71,7842,0.8633747414,0.8502582565
5,5,20260929,False,vpd_x10,2.781044063,2.252404174,3.337235552,101,71,7842,3.635473768,0.8544297058
5,5,20260929,False,wind_x0,0.1826610855,0.08453047387,0.2828063262,101,71,7842,1.043730787,0.8610697012
5,5,20260929,False,wind_x0.447,0.01880666049,0.005986027906,0.03303700061,101,71,7842,0.9210697458,0.9022630853
5,5,20260929,False,wind_x10,0.6368028883,0.5011971882,0.7818163466,101,71,7842,1.49157777,0.8547748819
5,5,20260929,False,wind_x2.237,0.06140349926,0.01414647367,0.1083897544,101,71,7842,0.9419336449,0.8805301456
5,5,20260929,False,wind_x3.6,0.2195596671,0.1335271954,0.3070654912,101,71,7842,1.08501742,0.865457753
5,5,20260929,False,wind_x5,0.3316288915,0.2299981628,0.4403177627,101,71,7842,1.192468989,0.8608400973
5,6,20260930,False,clean,0.009827922785,-0.0001676113048,0.02277546002,101,71,7842,0.8235063404,0.8136784176
5,6,20260930,False,temperature_fahrenheit_as_celsius,0.8288909937,0.6880599482,0.9766845294,101,71,7842,1.683393649,0.8545026548
5,6,20260930,False,temperature_plus10,0.08267674396,0.04958692667,0.1175635794,101,71,7842,0.9794568494,0.8967801054
5,6,20260930,False,temperature_plus20,0.3549696198,0.2730784292,0.4353193709,101,71,7842,1.215510643,0.8605410229
5,6,20260930,False,temperature_plus32,0.6087135587,0.4965403034,0.7173037351,101,71,7842,1.463140669,0.8544271103
5,6,20260930,False,temperature_plus5,0.01468280101,-0.001183808321,0.03232783424,101,71,7842,0.859446399,0.844763598
5,6,20260930,False,vpd_x10,3.14230195,2.556390112,3.804568587,101,71,7842,3.996816703,0.8545147526
5,6,20260930,False,wind_x0,0.1956542777,0.09705387741,0.2997746566,101,71,7842,1.056624632,0.8609703539
5,6,20260930,False,wind_x0.447,0.01888713715,0.006239885133,0.03363587367,101,71,7842,0.9274667709,0.9085796337
5,6,20260930,False,wind_x10,0.6322494322,0.4934146698,0.7761509781,101,71,7842,1.486924507,0.8546750744
5,6,20260930,False,wind_x2.237,0.06373795147,0.01158250755,0.1152997439,101,71,7842,0.9417997226,0.8780617711
5,6,20260930,False,wind_x3.6,0.2303316396,0.1426703068,0.3183981125,101,71,7842,1.094030983,0.8636993439
5,6,20260930,False,wind_x5,0.3561158367,0.2511694874,0.4626600266,101,71,7842,1.214665677,0.8585498401
5,7,20260931,False,clean,-0.0005727672164,-0.006405276842,0.005042554876,101,71,7842,0.8117603503,0.8123331175
5,7,20260931,False,temperature_fahrenheit_as_celsius,0.7197144382,0.5846100198,0.8638252338,101,71,7842,1.574185195,0.8544707566
5,7,20260931,False,temperature_plus10,0.06048629581,0.03463531106,0.08913944723,101,71,7842,0.9535532718,0.893066976
5,7,20260931,False,temperature_plus20,0.2975451924,0.2278874464,0.3713012699,101,71,7842,1.157564958,0.860019766
5,7,20260931,False,temperature_plus32,0.5386113912,0.4404498617,0.6457614545,101,71,7842,1.393038502,0.8544271103
5,7,20260931,False,temperature_plus5,0.003709599642,-0.005426068484,0.01258845489,101,71,7842,0.8533336657,0.8496240661
5,7,20260931,False,vpd_x10,2.246486467,1.761475296,2.785121896,101,71,7842,3.100969117,0.8544826492
5,7,20260931,False,wind_x0,0.1616585267,0.06675638114,0.2626340985,101,71,7842,1.019782113,0.8581235863
5,7,20260931,False,wind_x0.447,0.0114070004,0.0004102204571,0.0238749335,101,71,7842,0.9195526747,0.9081456743
5,7,20260931,False,wind_x10,0.5180754703,0.3876074812,0.6615572408,101,71,7842,1.372757545,0.8546820746
5,7,20260931,False,wind_x2.237,0.04438367211,0.01181012005,0.07780407453,101,71,7842,0.9235268762,0.8791432041
5,7,20260931,False,wind_x3.6,0.1678197879,0.09668615406,0.2410540314,101,71,7842,1.034568853,0.8667490656
5,7,20260931,False,wind_x5,0.2622822225,0.1761913709,0.3537152382,101,71,7842,1.122019946,0.8597377238
5,8,20260932,False,clean,-0.0001372246349,-0.006430698651,0.006029687214,101,71,7842,0.8064537801,0.8065910048
5,8,20260932,False,temperature_fahrenheit_as_celsius,0.7490446013,0.6024178439,0.9053855571,101,71,7842,1.603515358,0.8544707566
5,8,20260932,False,temperature_plus10,0.05800263329,0.03192049356,0.0846784433,101,71,7842,0.9595436234,0.9015409901
5,8,20260932,False,temperature_plus20,0.2925983804,0.2154790047,0.3650999078,101,71,7842,1.153873533,0.8612751525
5,8,20260932,False,temperature_plus32,0.5388117412,0.4285042433,0.6463339628,101,71,7842,1.393238852,0.8544271103
5,8,20260932,False,temperature_plus5,0.0003772730633,-0.008479079427,0.009228000701,101,71,7842,0.8548218872,0.8544446141
5,8,20260932,False,vpd_x10,2.589071366,1.954042125,3.282805075,101,71,7842,3.443603273,0.8545319074
5,8,20260932,False,wind_x0,0.1715117161,0.07351672501,0.27545415,101,71,7842,1.030236433,0.8587247169
5,8,20260932,False,wind_x0.447,0.01856379438,0.006345012496,0.03255152849,101,71,7842,0.9321388052,0.9135750108
5,8,20260932,False,wind_x10,0.5688523026,0.4248700274,0.7220750976,101,71,7842,1.423505097,0.8546527944
5,8,20260932,False,wind_x2.237,0.04389576851,-0.01557877025,0.09495805481,101,71,7842,0.9264405493,0.8825447808
5,8,20260932,False,wind_x3.6,0.1956049592,0.1076385281,0.2801075474,101,71,7842,1.063415219,0.8678102595
5,8,20260932,False,wind_x5,0.279503847,0.1760366481,0.3856720696,101,71,7842,1.138901314,0.8593974665
5,9,20260933,False,clean,0.001824499354,-0.001056066222,0.005169686342,101,71,7842,0.8193337022,0.8175092028
5,9,20260933,False,temperature_fahrenheit_as_celsius,0.6702580872,0.5299345315,0.8260721742,101,71,7842,1.524760742,0.8545026548
5,9,20260933,False,temperature_plus10,0.06477322659,0.03630094034,0.09500814209,101,71,7842,0.9563937971,0.8916205705
5,9,20260933,False,temperature_plus20,0.303549834,0.2271728247,0.384889988,101,71,7842,1.164866966,0.861317132
5,9,20260933,False,temperature_plus32,0.5187506117,0.411875491,0.6425829295,101,71,7842,1.373177722,0.8544271103
5,9,20260933,False,temperature_plus5,0.008151900843,-0.003846889344,0.02223153155,101,71,7842,0.8699678964,0.8618159956
5,9,20260933,False,vpd_x10,2.426740683,1.866760189,3.091696237,101,71,7842,3.281138543,0.8543978599
5,9,20260933,False,wind_x0,0.1847004157,0.08929822228,0.2918717308,101,71,7842,1.044281007,0.859580591
5,9,20260933,False,wind_x0.447,0.01066140875,-0.001241574778,0.02450661891,101,71,7842,0.9188833995,0.9082219907
5,9,20260933,False,wind_x10,0.4977201603,0.3714928281,0.6447305485,101,71,7842,1.352484811,0.8547646509
5,9,20260933,False,wind_x2.237,0.07114825198,0.03294398867,0.1113993672,101,71,7842,0.9547964745,0.8836482225
5,9,20260933,False,wind_x3.6,0.1980858515,0.1205602426,0.2864921376,101,71,7842,1.066358671,0.8682728199
5,9,20260933,False,wind_x5,0.2693185383,0.1755485117,0.3759096881,101,71,7842,1.126385155,0.857066617
10,0,20260924,True,clean,0.005152305734,-0.003902495361,0.01504639877,101,64,7842,0.8058158973,0.8006635915
10,0,20260924,True,temperature_fahrenheit_as_celsius,0.8393772864,0.6805829515,1.020293288,101,64,7842,1.693848043,0.8544707566
10,0,20260924,True,temperature_plus10,0.06774540728,0.04096055829,0.09498101439,101,64,7842,0.9610951078,0.8933497005
10,0,20260924,True,temperature_plus20,0.3444523064,0.2642722618,0.4347808354,101,64,7842,1.206492875,0.8620405689
10,0,20260924,True,temperature_plus32,0.6212377145,0.5041392956,0.7550678441,101,64,7842,1.475664825,0.8544271103
10,0,20260924,True,temperature_plus5,0.01113782063,-0.000593672126,0.02299218659,101,64,7842,0.8568424671,0.8457046464
10,0,20260924,True,vpd_x10,2.854124302,2.236628083,3.572270643,101,64,7842,3.708532423,0.8544081218
10,0,20260924,True,wind_x0,0.1878665663,0.08836090352,0.2956081017,101,64,7842,1.045915391,0.8580488249
10,0,20260924,True,wind_x0.447,0.02469679804,0.01141084661,0.03876239367,101,64,7842,0.9349426313,0.9102458333
10,0,20260924,True,wind_x10,0.619615624,0.4700681464,0.7719122153,101,64,7842,1.474381691,0.8547660669
10,0,20260924,True,wind_x2.237,0.07794798403,0.02781375886,0.1208544727,101,64,7842,0.9604519784,0.8825039944
10,0,20260924,True,wind_x3.6,0.2317910851,0.144396646,0.3169872811,101,64,7842,1.094133436,0.8623423513
10,0,20260924,True,wind_x5,0.3353688959,0.2307506001,0.4396762549,101,64,7842,1.194843257,0.8594743607
10,1,20260925,False,clean,0.00343193224,-0.002469061773,0.009999739302,101,64,7842,0.8104972358,0.8070653036
10,1,20260925,False,temperature_fahrenheit_as_celsius,0.6099358127,0.4836156589,0.7574854666,101,64,7842,1.464438468,0.8545026548
10,1,20260925,False,temperature_plus10,0.06872721589,0.04033794943,0.09290584455,101,64,7842,0.9602419975,0.8915147816
10,1,20260925,False,temperature_plus20,0.3114464273,0.2391190086,0.3863635563,101,64,7842,1.172515112,0.8610686848
10,1,20260925,False,temperature_plus32,0.5123219541,0.4136013752,0.619801701,101,64,7842,1.366749064,0.8544271103
10,1,20260925,False,temperature_plus5,0.008468777164,-0.002728095258,0.02062748579,101,64,7842,0.862562876,0.8540940988
10,1,20260925,False,vpd_x10,2.04102167,1.493899993,2.65111661,101,64,7842,2.895523072,0.8545014023
10,1,20260925,False,wind_x0,0.1713905938,0.0691515103,0.2723434918,101,64,7842,1.032047696,0.8606571019
10,1,20260925,False,wind_x0.447,0.01466314576,0.00426626938,0.02805241113,101,64,7842,0.9235273796,0.9088642338
10,1,20260925,False,wind_x10,0.4768315744,0.3736470433,0.5926574258,101,64,7842,1.33157027,0.8547386952
10,1,20260925,False,wind_x2.237,0.0580276305,0.01363393329,0.09413070019,101,64,7842,0.9363591945,0.878331564
10,1,20260925,False,wind_x3.6,0.1868318252,0.1150862597,0.2592836941,101,64,7842,1.051485345,0.8646535195
10,1,20260925,False,wind_x5,0.2683468592,0.187446448,0.3556725064,101,64,7842,1.124505021,0.8561581615
10,2,20260926,False,clean,0.003443044219,-0.006288478377,0.01338653006,101,64,7842,0.8122298625,0.8087868183
10,2,20260926,False,temperature_fahrenheit_as_celsius,0.6527949255,0.519378884,0.8113700585,101,64,7842,1.507265682,0.8544707566
10,2,20260926,False,temperature_plus10,0.06364861002,0.03373971947,0.09145150204,101,64,7842,0.9557928578,0.8921442478
10,2,20260926,False,temperature_plus20,0.2505000306,0.187779004,0.315057086,101,64,7842,1.112963482,0.8624634514
10,2,20260926,False,temperature_plus32,0.4719188466,0.3662049223,0.5932623938,101,64,7842,1.326345957,0.8544271103
10,2,20260926,False,temperature_plus5,0.003752833574,-0.009065537945,0.01779118265,101,64,7842,0.8557262221,0.8519733885
10,2,20260926,False,vpd_x10,2.23374546,1.769259684,2.82659238,101,64,7842,3.088253739,0.8545082791
10,2,20260926,False,wind_x0,0.1522912858,0.06489306383,0.2523737054,101,64,7842,1.010766766,0.8584754802
10,2,20260926,False,wind_x0.447,0.01419259307,0.00196373495,0.02702378254,101,64,7842,0.8982401019,0.8840475088
10,2,20260926,False,wind_x10,0.5253260931,0.3869153681,0.6416329466,101,64,7842,1.379925255,0.8545991622
10,2,20260926,False,wind_x2.237,0.04569980501,0.006843855473,0.07970260331,101,64,7842,0.926299813,0.880600008
10,2,20260926,False,wind_x3.6,0.1616141784,0.08656648737,0.2307285725,101,64,7842,1.024878853,0.8632646744
10,2,20260926,False,wind_x5,0.2420591183,0.1533859849,0.3248162523,101,64,7842,1.103889962,0.861830844
10,3,20260927,False,clean,0.006335753166,-0.005921019368,0.02134761356,101,64,7842,0.8197112583,0.8133755051
10,3,20260927,False,temperature_fahrenheit_as_celsius,0.750351451,0.611275889,0.9110582817,101,64,7842,1.604854106,0.8545026548
10,3,20260927,False,temperature_plus10,0.06335717222,0.02873098082,0.09309794582,101,64,7842,0.9531830661,0.8898258939
10,3,20260927,False,temperature_plus20,0.2845217638,0.205029266,0.3603663147,101,64,7842,1.145898516,0.8613767521
10,3,20260927,False,temperature_plus32,0.5409710285,0.4341226358,0.6611961851,101,64,7842,1.395398139,0.8544271103
10,3,20260927,False,temperature_plus5,0.01276626831,-0.002938714937,0.03207322019,101,64,7842,0.8677545217,0.8549882534
10,3,20260927,False,vpd_x10,2.604762564,2.009345259,3.210404611,101,64,7842,3.459244383,0.8544818187
10,3,20260927,False,wind_x0,0.1594361245,0.06726765912,0.2566924661,101,64,7842,1.019836447,0.8604003222
10,3,20260927,False,wind_x0.447,0.01489721239,0.00165577471,0.02786755926,101,64,7842,0.9269795259,0.9120823135
10,3,20260927,False,wind_x10,0.534690026,0.3769324035,0.6758195766,101,64,7842,1.389461583,0.8547715573
10,3,20260927,False,wind_x2.237,0.043410814,-0.009461178662,0.08966808898,101,64,7842,0.9245765739,0.8811657599
10,3,20260927,False,wind_x3.6,0.1881702634,0.1041036834,0.2645374721,101,64,7842,1.053493841,0.8653235772
10,3,20260927,False,wind_x5,0.2749755183,0.1684825316,0.3705536482,101,64,7842,1.131974329,0.8569988103
10,4,20260928,False,clean,0.006992801834,-0.002684121846,0.02043126867,101,64,7842,0.8169010943,0.8099082924
10,4,20260928,False,temperature_fahrenheit_as_celsius,0.7602022469,0.615748411,0.9159663128,101,64,7842,1.614704902,0.8545026548
10,4,20260928,False,temperature_plus10,0.08398616613,0.04656878494,0.1177439813,101,64,7842,0.9801444389,0.8961582727
10,4,20260928,False,temperature_plus20,0.3484982001,0.2592960913,0.4315990333,101,64,7842,1.209182666,0.8606844657
10,4,20260928,False,temperature_plus32,0.6078810033,0.5012061303,0.7271366848,101,64,7842,1.462308114,0.8544271103
10,4,20260928,False,temperature_plus5,0.007275607884,-0.005552396354,0.01951096193,101,64,7842,0.8577240441,0.8504484363
10,4,20260928,False,vpd_x10,2.699079314,2.128066192,3.283190768,101,64,7842,3.553595638,0.8545163238
10,4,20260928,False,wind_x0,0.1968506015,0.09890827353,0.304055513,101,64,7842,1.055589452,0.8587388504
10,4,20260928,False,wind_x0.447,0.02055353491,0.008586579288,0.03427205482,101,64,7842,0.9134192253,0.8928656904
10,4,20260928,False,wind_x10,0.602180187,0.4394321389,0.7495393998,101,64,7842,1.456904503,0.8547243162
10,4,20260928,False,wind_x2.237,0.05711138588,0.002808309797,0.104824548,101,64,7842,0.9370662323,0.8799548464
10,4,20260928,False,wind_x3.6,0.2321128651,0.1443327076,0.3158184489,101,64,7842,1.100687047,0.8685741818
10,4,20260928,False,wind_x5,0.3302637702,0.2186816649,0.4340177031,101,64,7842,1.191311493,0.8610477231
10,5,20260929,False,clean,0.008982003486,-0.0008738581042,0.02159161525,101,64,7842,0.8145620642,0.8055800608
10,5,20260929,False,temperature_fahrenheit_as_celsius,0.8143438457,0.6719560024,0.9782762157,101,64,7842,1.668846501,0.8545026548
10,5,20260929,False,temperature_plus10,0.08133422331,0.04500549489,0.1154972646,101,64,7842,0.9815082093,0.900173986
10,5,20260929,False,temperature_plus20,0.3518460554,0.2645709822,0.4351308499,101,64,7842,1.211999627,0.860153572
10,5,20260929,False,temperature_plus32,0.6225461517,0.5072654417,0.7479035871,101,64,7842,1.476973262,0.8544271103
10,5,20260929,False,temperature_plus5,0.01175140675,-0.003661031402,0.02956870783,101,64,7842,0.8691904089,0.8574390021
10,5,20260929,False,vpd_x10,2.824016271,2.279394475,3.449036069,101,64,7842,3.678499519,0.8544832479
10,5,20260929,False,wind_x0,0.177300272,0.08349607517,0.2746017084,101,64,7842,1.037049868,0.8597495955
10,5,20260929,False,wind_x0.447,0.01702489879,0.003167355371,0.03007542414,101,64,7842,0.9089611124,0.8919362136
10,5,20260929,False,wind_x10,0.6066590089,0.4454638542,0.7529395969,101,64,7842,1.461322768,0.8546637589
10,5,20260929,False,wind_x2.237,0.05036875867,-0.008531620828,0.09914196596,101,64,7842,0.9318163726,0.8814476139
10,5,20260929,False,wind_x3.6,0.2277482309,0.1332139874,0.3195758899,101,64,7842,1.089780194,0.8620319636
