row_id,station,year,date,block_start,gridmet_wind_original_m_s,gridmet_wind_stuck_m_s
0,AFD,2011,2011-12-03,2011-12-03,4.20000000,4.20000000
1,AFD,2011,2011-12-19,2011-12-17,1.20000000,3.30000000
2,AFD,2012,2012-02-05,2012-02-05,2.50000000,2.50000000
3,AFD,2012,2012-02-21,2012-02-19,1.30000000,2.80000000
4,AFD,2012,2012-03-08,2012-03-04,3.50000000,1.20000000
5,AFD,2012,2012-04-09,2012-04-08,2.60000000,1.80000000
6,AFD,2012,2012-05-11,2012-05-06,3.10000000,3.20000000
7,AFD,2012,2012-05-27,2012-05-27,2.00000000,2.00000000
8,AFD,2012,2012-06-12,2012-06-10,1.50000000,4.10000000
9,AFD,2012,2012-06-28,2012-06-24,4.00000000,4.90000000
10,AFD,2012,2012-07-14,2012-07-08,4.00000000,2.80000000
11,AFD,2012,2012-07-30,2012-07-29,2.50000000,2.80000000
12,AFD,2012,2012-09-16,2012-09-16,2.00000000,2.00000000
13,AFD,2012,2012-10-02,2012-09-30,1.10000000,1.90000000
14,AFD,2012,2012-10-18,2012-10-14,1.90000000,1.80000000
15,AFD,2012,2012-11-03,2012-10-28,0.80000000,1.20000000
16,AFD,2012,2012-11-19,2012-11-18,2.50000000,3.80000000
17,AFD,2012,2012-12-21,2012-12-16,2.20000000,1.50000000
18,AFD,2013,2013-01-06,2013-01-06,1.60000000,1.60000000
19,AFD,2013,2013-02-07,2013-02-03,1.90000000,1.00000000
20,AFD,2013,2013-02-23,2013-02-17,1.40000000,1.20000000
21,AFD,2013,2013-03-11,2013-03-10,1.40000000,3.30000000
22,AFD,2013,2013-04-12,2013-04-07,1.60000000,1.90000000
23,AFD,2013,2013-04-20,2013-04-14,2.70000000,2.70000000
24,AFD,2013,2013-04-28,2013-04-28,1.20000000,1.20000000
25,AFD,2013,2013-05-14,2013-05-12,3.60000000,1.00000000
26,AFD,2013,2013-05-22,2013-05-19,4.70000000,2.70000000
27,AFD,2013,2013-05-30,2013-05-26,1.80000000,3.60000000
28,AFD,2013,2013-06-07,2013-06-02,1.00000000,1.90000000
29,AFD,2013,2013-06-15,2013-06-09,3.10000000,2.80000000
30,AFD,2013,2013-06-23,2013-06-23,2.80000000,2.80000000
31,AFD,2013,2013-07-09,2013-07-07,3.30000000,3.70000000
32,AFD,2013,2013-07-17,2013-07-14,2.90000000,2.10000000
33,AFD,2013,2013-07-25,2013-07-21,2.30000000,3.20000000
34,AFD,2013,2013-08-02,2013-07-28,3.10000000,1.30000000
35,AFD,2013,2013-08-10,2013-08-04,3.00000000,2.90000000
36,AFD,2013,2013-08-18,2013-08-18,3.00000000,3.00000000
37,AFD,2013,2013-09-19,2013-09-15,3.00000000,2.30000000
38,AFD,2013,2013-09-27,2013-09-22,2.80000000,4.00000000
39,AFD,2013,2013-10-05,2013-09-29,3.60000000,2.00000000
