date,site_id,openet_et_mm,eto_mm,ndvi,measured_et_mm,t_min_c,t_max_c,t_avg_c,vpd_kpa,wind_m_s,station_latitude,station_longitude
2011-12-03,AFD,0.000000,2.300000,,0.051875,-3.750000,10.050000,3.150000,0.590000,4.200000,36.490900,-116.253300
2011-12-19,AFD,0.300000,1.200000,,0.492998,-2.750000,14.950000,6.100000,0.620000,1.200000,36.490900,-116.253300
2012-02-05,AFD,0.300000,2.500000,,0.055838,-3.550000,16.750000,6.600000,0.810000,2.500000,36.490900,-116.253300
2012-02-21,AFD,0.100000,2.500000,,0.094503,-1.150000,21.050000,9.950000,1.260000,1.300000,36.490900,-116.253300
2012-03-08,AFD,0.400000,4.300000,,0.066755,-3.750000,19.150000,7.700000,1.140000,3.500000,36.490900,-116.253300
2012-04-09,AFD,0.200000,6.300000,,0.238468,9.050000,30.950000,20.000000,2.640000,2.600000,36.490900,-116.253300
2012-05-11,AFD,0.000000,7.700000,,0.320201,11.850000,32.050000,21.950000,2.860000,3.100000,36.490900,-116.253300
2012-05-27,AFD,0.000000,5.900000,,0.351339,8.050000,26.750000,17.400000,1.830000,2.000000,36.490900,-116.253300
2012-06-12,AFD,0.000000,6.600000,,0.315022,17.150000,37.450000,27.300000,3.910000,1.500000,36.490900,-116.253300
2012-06-28,AFD,0.100000,10.100000,,0.274824,17.250000,38.950000,28.100000,4.180000,4.000000,36.490900,-116.253300
2012-07-14,AFD,0.200000,9.000000,,2.105024,21.650000,37.750000,29.700000,3.310000,4.000000,36.490900,-116.253300
2012-07-30,AFD,0.100000,7.800000,,0.124731,19.350000,39.150000,29.250000,4.140000,2.500000,36.490900,-116.253300
2012-09-16,AFD,0.000000,5.500000,,0.284302,16.250000,35.750000,26.000000,3.260000,2.000000,36.490900,-116.253300
2012-10-02,AFD,0.100000,3.800000,,0.117101,15.850000,38.450000,27.150000,3.940000,1.100000,36.490900,-116.253300
2012-10-18,AFD,0.200000,3.800000,,0.391072,9.350000,29.750000,19.550000,2.200000,1.900000,36.490900,-116.253300
2012-11-03,AFD,0.100000,1.800000,,0.145527,6.950000,26.850000,16.900000,1.960000,0.800000,36.490900,-116.253300
2012-11-19,AFD,0.000000,2.400000,,0.099281,3.550000,20.950000,12.250000,0.990000,2.500000,36.490900,-116.253300
2012-12-21,AFD,0.200000,1.900000,,0.248787,-5.250000,13.950000,4.350000,0.800000,2.200000,36.490900,-116.253300
