condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
clean,Gain,0.01,0.920161813317683,0.49814157755660177,1.5284680489050078
clean,Gain,0.02,0.9810961225270648,0.6054048039271314,1.2842224959382296
clean,Gain,0.03,0.9365349907750659,0.6448263805516949,1.193646770343849
clean,Gain,0.04,0.8466514457522112,0.6527296734727872,1.1712202012218573
clean,Gain,0.05,0.8959997624543578,0.6495366606669553,1.1515611844615825
clean,Gain,0.06,0.8664745582732908,0.6609894465166507,1.136233759066944
clean,Gain,0.07,0.8941881341795582,0.6606345426838123,1.1234345041559561
clean,Gain,0.08,0.8634719314517284,0.6740094336859622,1.1119209857607835
clean,Gain,0.09,0.8700388733061523,0.6788037271756246,1.1005730155158742
clean,Gain,0.1,0.8840763825479069,0.6854280776714646,1.084714627462459
clean,Gain,0.11,0.8885924813832484,0.6924132423240434,1.0736155929471907
clean,Gain,0.12,0.8782544263658544,0.6940957423743995,1.0614421219433872
clean,Gain,0.13,0.8691533347440659,0.6955324525529548,1.0515848804884789
clean,Gain,0.14,0.8577447499219475,0.6929799891898466,1.0375307988891018
clean,Gain,0.15,0.8615280602043828,0.6893100145207531,1.0247338744404118
clean,Gain,0.16,0.8431948492004689,0.6892802450833062,1.0125798229865604
clean,Gain,0.17,0.8280288768640764,0.6858426031813972,0.9970603707604968
clean,Gain,0.18,0.8257752897536607,0.6779572492751132,0.9842513469353326
clean,Gain,0.19,0.8153706154286684,0.6733686021568487,0.9711053083735386
clean,Gain,0.2,0.8093627581315761,0.6762892053016665,0.9705841277522181
clean,Gain,0.21,0.8072404869640903,0.6751015467637637,0.9575952504417857
clean,Gain,0.22,0.7972185348225007,0.6769064957339156,0.9574309276321176
clean,Gain,0.23,0.8112544271166955,0.6735238543875358,0.9554030572551251
clean,Gain,0.24,0.8197607976032237,0.6739513659026148,0.954100209822524
clean,Gain,0.25,0.8154736307588804,0.6706867387681283,0.9532827136032509
clean,Gain,0.26,0.8271802684981827,0.6604348829469823,0.9530194062254377
clean,Gain,0.27,0.8176314594469224,0.653243471423985,0.9485458994091934
clean,Gain,0.28,0.7993385006624263,0.6469104205843862,0.9413124721801218
clean,Gain,0.29,0.7875514203597723,0.6430077818461477,0.9327586012889892
clean,Gain,0.3,0.7756409914968384,0.6410047780919934,0.9268655698227978
clean,Gain,0.31,0.7788329516181007,0.6441197176669896,0.9232956543660215
clean,Gain,0.32,0.7747215244995356,0.6446941138931909,0.9160738504884774
clean,Gain,0.33,0.7714768966981892,0.6498065302544115,0.912348905688843
clean,Gain,0.34,0.7654357813543554,0.6528844568764406,0.9062871170564203
clean,Gain,0.35000000000000003,0.7642257471845747,0.6576402910948892,0.9031486904852698
clean,Gain,0.36,0.7684364809545745,0.6607677560258157,0.898213669888578
clean,Gain,0.37,0.7801769247680846,0.6641229640802662,0.8966031861714572
clean,Gain,0.38,0.7772115324509439,0.6629001324849727,0.8932408079136703
clean,Gain,0.39,0.7728896830392711,0.6634194960365378,0.8869392538384402
clean,Gain,0.4,0.768295170837477,0.6615118944448263,0.8846635585351735
clean,Gain,0.41000000000000003,0.7678887980791667,0.6588542102921376,0.8823117606204326
clean,Gain,0.42,0.763150772751074,0.6544255394330813,0.8747078578822847
clean,Gain,0.43,0.754293609393521,0.6498899589771501,0.871060094007347
clean,Gain,0.44,0.7495900524176103,0.6459441187407874,0.8660692814877943
clean,Gain,0.45,0.7409593204232288,0.6414099959462043,0.8634759302546173
clean,Gain,0.46,0.7336186032091301,0.6378843743648313,0.8584685083130814
clean,Gain,0.47000000000000003,0.7281581918633614,0.6339621817911824,0.8539636896922217
clean,Gain,0.48,0.7282630382322831,0.6349604882844552,0.8504837982431875
clean,Gain,0.49,0.7295262634646973,0.6327167290529409,0.846866417258601
clean,Gain,0.5,0.7250101208207418,0.6322923031089497,0.8443432650074436
