regime,station,alignment,energy
proximity,Almond_High,-0.04097991203858146,0.12906315858995865
proximity,Almond_Low,-0.10416933427611082,0.11019721373626573
proximity,Almond_Med,-0.1557552091290121,0.13933590758683664
proximity,BAR012,0.09156151412457308,0.1284185669579661
proximity,Ellendale,0.11285215435401288,0.04212506679461202
proximity,RIP760,0.28474507644769004,0.22245427573039203
proximity,SLM001,0.3402191748286965,0.28801477019752647
proximity,US-ADR,0.02544511889554384,0.038326083462944534
proximity,US-AR1,0.29731368181231776,0.0669147869012077
proximity,US-ARb,0.3978142998728,0.053349407229582646
proximity,US-ARc,0.3038512673074624,0.043794200231209446
proximity,US-Aud,-0.09233727506365645,0.14205055188761584
proximity,US-Bi1,-0.0913383600536321,0.11256324182051641
proximity,US-Bi2,-0.029892808512145087,0.08701343293918674
proximity,US-Bkg,0.09567244178781557,0.17122242413691616
proximity,US-Blk,0.1649253082067227,0.04306252512715747
proximity,US-Blo,0.8161667220915093,0.34086155156455006
proximity,US-Bo1,0.30097423716758515,0.3673135281477107
proximity,US-Br1,0.38454530956317223,0.1935496610391007
proximity,US-Br3,0.21596125383105047,0.18551417995660635
proximity,US-Ced,0.28135358886006906,0.05286726894419431
proximity,US-Ctn,0.33156268487514357,0.27106334192737597
proximity,US-Dix,-0.0009009254630690001,0.0548147162192424
proximity,US-Dk1,-0.00020528739188747084,0.08828938536342383
proximity,US-Dk2,0.35395951821198046,0.08995446778037595
proximity,US-Esm,0.38821135979651034,0.10311702158955971
proximity,US-FPe,0.12958430984124125,0.13565459460371454
proximity,US-FR2,0.2742416816029217,0.04962189213690159
proximity,US-Fmf,0.3478892008794244,0.1282683509360374
proximity,US-Fuf,1.4563296567333224,0.35498381367049414
proximity,US-Fwf,0.0455531497623469,0.03429680204482257
proximity,US-GLE,2.254288159841761,0.9296222231899401
proximity,US-GMF,0.6243105442587561,0.12011807784255084
proximity,US-Goo,0.1429504611960593,0.08824651641668244
proximity,US-Jo2,0.06624095112933683,0.03155120914433203
proximity,US-KLS,0.4751446388412253,0.10210334920607234
proximity,US-KM4,-0.1632532051297828,0.09101254645088706
proximity,US-KS2,0.320455678094099,0.09474841253774606
proximity,US-Me1,0.27068899897875354,0.029680187014606847
proximity,US-Me5,0.1593762626328761,0.2350425582088648
proximity,US-Mj1,-0.09805547907451187,0.05167580994698741
proximity,US-Mj2,0.1268578596456552,0.023873361815092836
proximity,US-NC2,0.3041804539588906,0.1517836743328886
proximity,US-NC3,0.11425483562739075,0.09583292047424329
proximity,US-NC4,0.09392619985633727,0.06310985270639408
proximity,US-NR1,2.1597988649563473,0.8255405541960277
proximity,US-OF1,-0.6415952654016726,0.0491823932150518
proximity,US-OF2,-1.4259383715758271,0.07467490366706543
proximity,US-OF4,-0.7898814624133981,0.11572942736179655
proximity,US-OF6,-0.5746155781075585,0.08580765121458728
proximity,US-Ro1,-0.21818292991619487,0.1398754305343669
proximity,US-Ro2,-0.3390461947614629,0.11266760844084964
proximity,US-Ro3,0.031297939913790054,0.10387178479868094
proximity,US-Ro4,0.4499677559975358,0.11636436019346544
proximity,US-Ro5,-0.18661904666711338,0.07379030540920575
proximity,US-Ro6,-0.20431981970251298,0.08885836294412784
proximity,US-SO2,-0.03388187947625956,0.07329080580726333
proximity,US-SO3,-0.10296983079035348,0.06951990359571802
proximity,US-SO4,0.6328984913581225,0.1318664586688104
proximity,US-SP2,-0.08281663463142137,0.11358259679366703
proximity,US-SP3,0.24824522492269266,0.16470521482340836
proximity,US-SRC,-0.006977301199795129,0.05909332669105362
proximity,US-SRS,0.1831590387725443,0.08882189501942489
proximity,US-SdH,0.2029053793791286,0.09392972559843502
proximity,US-Skr,0.5414582692350819,0.08625883271507942
proximity,US-Slt,0.25767491997949443,0.06416740372608681
proximity,US-Sne,0.11760836605468733,0.07659146864836698
proximity,US-Srr,0.10093470058090245,0.08718998660901811
proximity,US-Tw2,-0.20094330424529463,0.18224937056094792
proximity,US-Tw3,-0.050768706170499,0.11378189679192595
proximity,US-Twt,-0.08006721064555813,0.1612309659723973
proximity,US-Var,-0.14895329081878486,0.05970630219505365
proximity,US-WBW,0.13917830734812517,0.077442064550625
proximity,US-WCr,0.2636583487164304,0.07204913575263223
proximity,US-xAE,-0.19883928568361786,0.08051698498535274
proximity,US-xDC,0.1815575153070033,0.06948695042903721
proximity,US-xDL,0.016833650881207703,0.0003357342470782854
proximity,US-xDS,0.05360769585835179,0.07467993341417023
proximity,US-xNG,-0.6944301834361879,0.1487414692476283
proximity,US-xRM,4.7801607316175865,1.7690449869981588
proximity,US-xSB,0.09026446041601054,0.015844749041583343
proximity,US-xSL,0.031408081512270855,0.04196289248655169
proximity,US-xST,0.2670319893869654,0.11531212248473166
proximity,US-xUN,0.3786545736553138,0.11391518108478138
proximity,manilacotton,-1.1113768340318126,0.556425387181892
joint,Almond_High,0.03171438464778261,0.11962406881383168
joint,Almond_Low,-0.37044327814812694,0.14445320572169593
joint,Almond_Med,-0.04062111507865058,0.12274887388276264
joint,BAR012,-0.040756367631078615,0.13652082597461304
joint,Ellendale,0.04127134096542107,0.033716202602359205
joint,RIP760,0.27834353820227686,0.26913138378512913
joint,SLM001,0.17146571472484304,0.28366240103541995
joint,US-Bi1,-0.19504764020390408,0.14035410090047643
joint,US-Bi2,-0.18192431812004142,0.11814928940088808
joint,US-Jo2,0.024451238143279548,0.019882255185149307
joint,US-NC2,0.3240927599820695,0.11159006277415033
joint,US-NC3,0.2096905599378849,0.07170574707757375
joint,US-NC4,0.372153421789852,0.06946826297785183
joint,US-NR1,1.9827394425603653,0.8475791531505049
joint,US-Ro4,0.39846166853222875,0.14159382049862818
joint,US-Sne,0.2308770794856409,0.10037232812963724
joint,US-Var,-0.13145555897148795,0.06194343488855635
joint,US-WCr,0.4247606411673905,0.0897538722984913
joint,US-xAE,-0.1556598877406427,0.13578926915785702
joint,US-xDC,0.0006618999238692881,0.07780327492600228
joint,US-xDL,0.20665070192273696,0.05059560367557316
joint,US-xDS,-0.021000196440525476,0.025092323992906108
joint,US-xNG,-0.7611699399103091,0.1898109250728813
joint,US-xRM,5.136350882113965,2.0425055529513725
joint,US-xSB,0.26219319983945205,0.0745291799951958
joint,US-xST,0.2989926064188642,0.08726657283675482
joint,US-xUN,0.29808409245639644,0.08430907395626004
